gene	base_mean	l2fc	lfc_se	stat	pvalue	padj
Zbtb16	23.956260305416443	1.3551908173257878	0.2387878352682381	5.67529252821216	1.3845185403343158e-8	5.159367619422289e-6
Mtss2	143.58579231612475	-0.8497073927376785	0.15176212975564712	-5.598942200572673	2.1566368113530073e-8	7.590163444400723e-6
Gpd1	110.51795800087672	0.6714235858801343	0.121460311326468	5.52792577713261	3.2403907997005514e-8	1.0804145113738415e-5
Lasp1	173.59619239758797	-0.7027108729603547	0.12750128791666285	-5.511402154773991	3.5598630611339175e-8	1.1275866246141685e-5
Hdac5	161.45440629718243	-0.6830850330937569	0.12737584858639425	-5.362751578690728	8.196369468977443e-8	2.3601818448169135e-5
S100a16	213.6088163310863	-0.8072737288902366	0.1503160550662523	-5.3705090153838055	7.85147079270228e-8	2.3601818448169135e-5
H3f3b	303.0988027115723	0.44309832115129233	0.08330033761009599	5.3192860180867845	1.041752558595428e-7	2.749792691125848e-5
Rhob	279.745534348089	0.6070419820721431	0.11399676327780728	5.325080858592422	1.0090814156594641e-7	2.749792691125848e-5
B3galt5	28.723101042389004	1.240538011921472	0.23494251804808952	5.2801767097241665	1.2905935471621054e-7	3.270364048508775e-5
Hba-a2	1357.7937283407227	-1.1046530371892611	0.21429370362796896	-5.1548553153340775	2.538268354722354e-7	6.184588471986967e-5
Tst	98.37463483610736	-0.9000357583091071	0.17659201821311202	-5.096695577842822	3.456334607328996e-7	8.109585087936737e-5
Fabp7	94.3198323314038	-1.4236492870556685	0.2809290395142784	-5.067647294552155	4.0276281551922747e-7	9.112508701122522e-5
